OBJECT_NAME,FIELD_NAME,OBJECT_LABEL,FIELD_LABEL,FIELD_TYPE,FIELD_LENGTH,CREATEABLE,CALCULATED,PICKLIST,REFERENCE
"McLabs2__Property__c","LastActivityDate","Property","Last Activity Date","date","0","false","false","",""
"McLabs2__Property__c","McLabs2__Average_Unit_Size__c","Property","Average Unit Size","double","0","true","false","",""
"McLabs2__Property__c","Id","Property","Record ID","id","18","false","false","",""
"McLabs2__Property__c","McLabs2__APN__c","Property","Parcel Number","string","255","true","false","",""
"McLabs2__Property__c","McLabs2__Average_Weighted_Rent__c","Property","Average Weighted Rent","currency","0","true","false","",""
"McLabs2__Property__c","McLabs2__Ceiling_Height__c","Property","Ceiling Height","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Building_Location__c","Property","Building Location","string","255","true","false","",""
"McLabs2__Property__c","McLabs2__Column_Spacing__c","Property","Column Spacing","string","20","true","false","",""
"McLabs2__Property__c","McLabs2__City__c","Property","City","string","25","true","false","",""
"McLabs2__Property__c","McLabs2__Building_Park__c","Property","Building Park","textarea","255","true","false","",""
"McLabs2__Property__c","McLabs2__Class__c","Property","Building Class","picklist","255","true","false","A|B|C|D",""
"McLabs2__Property__c","McLabs2__Costar_Property_ID__c","Property","Costar Property ID","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Construction__c","Property","Construction","string","75","true","false","",""
"McLabs2__Property__c","McLabs2__Days_Until_Loan_Maturity__c","Property","Days Until Loan Maturity","double","0","false","true","",""
"McLabs2__Property__c","McLabs2__Core_Factor__c","Property","Core Factor","percent","0","true","false","",""
"McLabs2__Property__c","McLabs2__Description__c","Property","Description","textarea","32000","true","false","",""
"McLabs2__Property__c","McLabs2__Drive_Ins__c","Property","Drive-Ins","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Docks__c","Property","Docks","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__County__c","Property","County","picklist","255","true","false","None",""
"McLabs2__Property__c","McLabs2__Group__c","Property","Group","multipicklist","4099","true","false","Research|Research- Sold",""
"McLabs2__Property__c","McLabs2__Land_Acres__c","Property","Land (Acres)","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Elevators__c","Property","Elevators","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Latitude__c","Property","Latitude","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Land_SF__c","Property","Land (SF)","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Lender__c","Property","Lender","string","250","true","false","",""
"McLabs2__Property__c","McLabs2__Legal_Description__c","Property","Legal Description","textarea","255","true","false","",""
"McLabs2__Property__c","McLabs2__Loan_Balance__c","Property","Loan Balance","currency","0","true","false","",""
